,,,Colonna45,Colonna43,Colonna41,Colonna40,#,Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
2,Ancient Power,C,* Porygon-Z,,Porygon2,,1,Bulbasaur,Power Whip,Return,Seed Bomb,Sludge Bomb,Tackle,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Blizzard,C,,,,,2,Ivysaur,Power Whip,Razor Leaf,Return,Sludge Bomb,Solar Beam,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bulldoze,C,,,,,3,Venusaur,Petal Blizzard,Razor Leaf,Return,Sludge Bomb,Solar Beam,Vine Whip,* Frenzy Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Charge Beam,F,,,,,4,Charmander,Ember,Flame Burst,Flame Charge,Flamethrower,Return,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cut,F,,,,,5,Charmeleon,Ember,Fire Fang,Fire Punch,Flame Burst,Flamethrower,Return,**Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dark Pulse,C,,,,,6,Charizard,Air Slash,Dragon Claw,Fire Blast,Fire Spin,Overheat,Return,* Blast Burn,**Ember,**Flamethrower,**Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dazzling Gleam,C,,,,,7,Squirtle,Aqua Jet,Aqua Tail,Bubble,Return,Tackle,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Dragon Claw,C,,,,,8,Wartortle,Aqua Jet,Bite,Hydro Pump,Ice Beam,Return,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Dragon Tail,F,,,,,9,Blastoise,Bite,Flash Cannon,Hydro Pump,Ice Beam,Return,Skull Bash,Water Gun,* Hydro Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Energy Ball,C,,,,,10,Caterpie,Bug Bite,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Flame Charge,C,,,,,11,Metapod,Bug Bite,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Flash Cannon,C,,,,,12,Butterfree,Bug Buzz,Confusion,Psychic,Signal Beam,Struggle Bug,**Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Focus Blast,C,,,,,13,Weedle,Bug Bite,Poison Sting,Return,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Frost Breath,F,,,,,14,Kakuna,Bug Bite,Poison Sting,Return,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Grass Knot,C,,,,,15,Beedrill,Aerial Ace,Fell Stinger,Infestation,Poison Jab,Return,Sludge Bomb,X-Scissor,* Drill Run,**Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Gyro Ball,C,,,,,16,Pidgey,Aerial Ace,Air Cutter,Quick Attack,Tackle,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Hyper Beam,C,,,,,17,Pidgeotto,Aerial Ace,Air Cutter,Steel Wing,Twister,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ice Beam,C,,,,,18,Pidgeot,Aerial Ace,Air Slash,Brave Bird,Hurricane,Steel Wing,* Gust,**Air Cutter,**Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Infestation,F,,,,,19,Rattata,Body Slam,Dig,Hyper Fang,Quick Attack,Return,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Low Sweep,C,,,,,19,Rattata-Alola,Crunch,Hyper Fang,Quick Attack,Shadow Ball,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Overheat,C,,,,,20,Raticate,Bite,Dig,Hyper Beam,Hyper Fang,Quick Attack,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Poison Jab,F,,,,,20,Raticate-Alola,Bite,Crunch,Hyper Beam,Hyper Fang,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pound,F,,,,,21,Spearow,Aerial Ace,Drill Peck,Peck,Quick Attack,Sky Attack,**Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Psychic,C,,,,,22,Fearow,Aerial Ace,Drill Run,Peck,Sky Attack,Steel Wing,**Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Psyshock,C,,,,,23,Ekans,Acid,Poison Fang,Poison Sting,Sludge Bomb,Wrap,**Gunk Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Rock Slide,C,,,,,24,Arbok,Acid,Acid Spray,Bite,Dark Pulse,Dragon Tail,Gunk Shot,Sludge Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Rock Smash,F,,,,,25,Pikachu,Discharge,Present,Present,Quick Attack,Thunder Shock,Thunderbolt,Wild Charge,**Surf,**Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Shadow Claw,F,,,,,26,Raichu,Brick Break,Charm,Skull Bash,Spark,Thunder Punch,Thunder Shock,Volt Switch,Wild Charge,**Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Snarl,F,,,,,26,Raichu-Alola,Grass Knot,Psychic,Spark,Thunder Punch,Thunder Shock,Volt Switch,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
